order_id,customer_id,product_id,quantity,unit_price,total_price,status,order_date,email
1001,C001,P001,2,50.0,100.0,DELIVERED,2026-03-01,user1@example.com
1002,C002,P002,1,150.0,150.0,SHIPPED,2026-03-02,user2@example.com
1003,C003,P001,3,50.0,150.0,DELIVERED,2026-03-02,user3@example.com
1004,C004,P003,1,75.0,75.0,CANCELLED,2026-03-03,user4@example.com
1005,C005,P002,2,150.0,300.0,DELIVERED,2026-03-04,user5@example.com
1006,C006,P004,5,20.0,100.0,SHIPPED,2026-03-04,user6@example.com
1007,C007,P001,1,50.0,50.0,PENDING,2026-03-05,user7@example.com
1008,C001,P003,2,75.0,150.0,DELIVERED,2026-03-05,user1@example.com
1009,C008,P005,10,10.0,100.0,DELIVERED,2026-03-06,user8@example.com
1010,C009,P002,-1,150.0,-150.0,SHIPPED,2026-03-06,user9@example.com
1011,C010,P004,0,20.0,0.0,CANCELLED,2026-03-07,user10@example.com
1012,C011,P001,1,50.0,45.0,DELIVERED,2026-03-07,user11@example.com
1013,C012,P003,2,75.0,150.0,RETURNED,2026-03-08,user12@example.com
1014,C013,P002,4,150.0,600.0,SHIPPED,2026-03-08,user13@example.com
1015,C014,P005,1,,10.0,DELIVERED,2026-03-09,user14@example.com
1016,C015,P004,2,20.0,40.0,UNKNOWN,2026-03-09,user15@example.com
1017,C016,P001,1,50.0,50.0,DELIVERED,2026-03-10,invalid-email
1018,C017,P003,3,75.0,225.0,SHIPPED,2026-03-10,
1019,C018,P002,2,150.0,300.0,DELIVERED,2026-03-11,user18@example.com
1020,C019,P005,1,10.0,10.0,SHIPPED,2026-03-11,user19@example.com
