id;loja;nome;email;status;valor;data_cadastro;idade;cpf
1;A;Ana Silva;ana@email.com;ATIVO;100.00;2024-01-01;35;11111111111
2;A;Ana Silva;ana@email.com;ATIVO;100.00;2024-01-02;35;11111111111
3;B;Bruno Souza;bruno@email.com;ATIVO;200.00;2024-01-03;40;22222222222
4;B;Bruno Souza;bruno@email.com;ATIVO;200.00;2024-01-04;40;22222222222
5;C;Carlos Lima;carlos@email.com;ATIVO;300.00;2024-01-05;50;33333333333
6;C;Carlos Lima;carlos@email.com;ATIVO;300.00;2024-01-06;50;33333333333
7;A;Daniela Costa;daniela@email.com;ATIVO;400.00;2024-01-07;45;44444444444
8;B;Eduardo Alves;eduardo@email.com;ATIVO;500.00;2024-01-08;38;55555555555
9;C;Fernanda Rocha;fernanda@email.com;ATIVO;600.00;2024-01-09;42;66666666666
10;A;Gabriel Martins;gabriel@email.com;ATIVO;700.00;2024-01-10;39;77777777777
